COMPANY,PLAN,PREMIUM_CRORES,PREMIUM,NOP,LIVES_COVERED,MONTH,YEAR,DATE,ATS
ADITYA BIRLA SUN LIFE,Individual Single Premium,3.64,36407917.56,16407,NULL,FEB,2010,2/1/2010,2219
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,142.91,1429119418,131750,NULL,FEB,2010,2/1/2010,10847
ADITYA BIRLA SUN LIFE,Group Single Premium,0.08,846492.8,2,79,FEB,2010,2/1/2010,423246
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,17.29,172893900.2,25,35557,FEB,2010,2/1/2010,6915756
ADITYA BIRLA SUN LIFE,Individual Single Premium,8.39,83920216.66,171,NULL,JUL,2011,7/1/2011,490761
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,89.84,898398694.2,80768,NULL,JUL,2011,7/1/2011,11123
ADITYA BIRLA SUN LIFE,Group Single Premium,0.37,3661279.96,1,64,JUL,2011,7/1/2011,3661279
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,6.74,67350636,26,49206,JUL,2011,7/1/2011,2590409
ADITYA BIRLA SUN LIFE,Individual Single Premium,1.56,15615958.59,62,NULL,NOV,2012,11/1/2012,251870
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,65.65,656485040.8,37325,NULL,NOV,2012,11/1/2012,17588
ADITYA BIRLA SUN LIFE,Group Single Premium,0.37,3724627.08,0,91,NOV,2012,11/1/2012,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,54.63,546334027.2,29,35713,NOV,2012,11/1/2012,18839104
ADITYA BIRLA SUN LIFE,Individual Single Premium,2.58,25809133.22,89,NULL,JUN,2016,6/1/2016,289990
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,59.67,596657036.8,25555,NULL,JUN,2016,6/1/2016,23347
ADITYA BIRLA SUN LIFE,Group Single Premium,0.88,8770580.96,0,1874,JUN,2016,6/1/2016,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,109.55,1095464961,38,74718,JUN,2016,6/1/2016,28828025
ADITYA BIRLA SUN LIFE,Individual Single Premium,3.15,31478134.98,77,0,SEP,2017,9/1/2017,408806
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,79.04,790352759,22266,0,SEP,2017,9/1/2017,35495
ADITYA BIRLA SUN LIFE,Group Single Premium,266.79,2667946690,10,44035,SEP,2017,9/1/2017,266794669
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,3.46,34614319.16,1,13,SEP,2017,9/1/2017,34614319
ADITYA BIRLA SUN LIFE,Group Yearly Renewable Premium,7.01,70121746.84,76,169559,SEP,2017,9/1/2017,922654
ADITYA BIRLA SUN LIFE,Individual Single Premium,9.73,97293549.13,536,NULL,DEC,2010,12/1/2010,181517
