YEAR,MONTH,total_nop
2010,APR,22
2010,AUG,24
2010,DEC,23
2010,FEB,27
2010,JAN,29
2010,JUL,13
2010,JUN,29
2010,MAR,47
2010,MAY,13
2010,NOV,25
2010,OCT,15
2010,SEP,13
2011,APR,18
2011,AUG,23
2011,DEC,44
2011,FEB,10
2011,JAN,9
2011,JUL,27
2011,JUN,30
2011,MAR,50
2011,MAY,15
2011,NOV,32
2011,OCT,16
2011,SEP,31
2012,APR,34
2012,AUG,33
2012,DEC,30
2012,FEB,47
2012,JAN,53
2012,JUL,35
2012,JUN,45
2012,MAR,77
2012,MAY,42
2012,NOV,29
2012,OCT,27
2012,SEP,38
2013,APR,25
2013,DEC,24
2013,FEB,19
2013,JAN,30
2013,MAR,42
2013,MAY,26
2013,SEP,25
2014,DEC,57
2014,JUN,31
2014,MAR,83
2014,SEP,39
2015,AUG,59
2015,DEC,37
2015,MAR,100
2015,NOV,26
2015,SEP,36
2016,APR,29
2016,AUG,19
2016,DEC,51
2016,JAN,24
2016,JUL,24
2016,JUN,38
2016,MAR,70
2016,NOV,58
2016,OCT,51
2016,SEP,53
2017,APR,47
2017,AUG,53
2017,DEC,111
2017,FEB,61
2017,JAN,42
2017,JUL,83
2017,JUN,61
2017,MAR,112
2017,MAY,3
2017,NOV,71
2017,OCT,70
2017,SEP,87
2018,APR,74
2018,AUG,102
2018,DEC,69
2018,FEB,103
2018,JAN,90
2018,JUL,84
2018,JUN,78
2018,MAR,111
2018,MAY,98
2018,NOV,67
2018,OCT,84
2018,SEP,73
2019,APR,61
2019,AUG,46
2019,DEC,76
2019,FEB,73
2019,JAN,108
2019,JUL,48
2019,JUN,46
2019,MAR,127
2019,MAY,72
2019,NOV,59
2019,OCT,50
2019,SEP,52
2020,APR,38
2020,AUG,38
2020,FEB,44
2020,JAN,65
2020,JUL,87
2020,JUN,61
2020,MAR,54
2020,MAY,36
